node_id,name,1609498800,1606820400,1596276000,1585735200,1572606000,1564653600,1554112800
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,N1,1,8,5,10,4,12,19
0318070901e08df311cdc6cdb8a0b4a43a3690c5b32d1fb9d8e99d1a625a65e5f2,N2,2,2,3,4,36,56,416
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,N3,3,7,6,3,2,4,29
0227230b7b685f1742b944bfc5d79ddc8c5a90b68499775ee10895f87307d8d22e,N4,4,3,4,6,0,0,0
02433a4392aae169249949ba4af6658e1cc985cfaf87fd3898bf58f3a543b31dd1,N5,5,1079,196,338,1077,923,879
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,N6,6,5,145,0,0,0,0
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,N7,7,1,1,1,1,1,3
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,N8,8,6,2,2,3,9,9
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,N9,9,10,14,8,6,18,13
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,N10,10,13,57,44,41,2,356