node_id,name,1554112800,1564653600,1572606000,1585735200,1596276000,1606820400,1609498800
032de549c153a4e125f37c3faf1bf2c02c70b40df23c7a51635078acb12d999557,N1,1,150,67,81,54,1558,0
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,N2,2,37,45,52,78,106,25
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,N3,3,1,1,1,1,1,7
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,N4,4,62,52,0,0,0,0
0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,N5,5,13,5,11,13,24,20
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,N6,6,38,235,18,25,12,12
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,N7,7,43,1213,0,0,0,0
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,N8,8,22,96,58,65,45,39
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,N9,9,9,3,2,2,6,8
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,N10,10,40,17,24,34,66,69